,Amharic,English
1,እንደ,as
2,እኔ,I
3,የእሱ,his
4,የሚል ነው,that
5,እሱ,he
6,ነበር,was
7,ለ,for
8,ላይ,on
9,ናቸው,are
10,ጋር,with
11,እነሱ,they
12,ሁን,be
13,በ,at
14,አንድ,one
15,አላቸው,have
16,ይህ,this
17,ከ,from
18,በ,by
19,ሞቃት,hot
20,ቃል,word
21,ግን,but
22,ምንድን,what
23,አንዳንድ,some
24,ነው,is
25,እሱ,it
26,አንቺ,you
27,ወይም,or
28,ነበረው,had
29,የ,the
30,የ,of
31,ወደ,to
32,እና,and
33,ሀ,a
34,ውስጥ,in
35,እኛ,we
36,ይችላል,can
37,ውጭ,out
38,ሌላ,other
39,ነበሩ,were
40,የትኛው,which
41,መ ስ ራ ት,do
42,የእነሱ,their
43,ጊዜ,time
44,ከሆነ,if
45,ያደርጋል,will
46,እንዴት,how
47,አለ,said
48,አንድ,an
49,እያንዳንዳቸው,each
50,ንገረኝ,tell
51,ያደርጋል,does
52,አዘጋጅ,set
53,ሶስት,three
54,ይፈልጋሉ,want
55,አየር,air
56,ደህና,well
57,እንዲሁም,also
58,ጨዋታ,play
59,ትንሽ,small
60,መጨረሻ,end
61,አኑር,put
62,ቤት,home
63,አንብብ,read
64,እጅ,hand
65,ወደብ,port
66,ትልቅ,large
67,ፊደል,spell
68,ጨምር,add
69,እንኳን,even
70,መሬት,land
71,እዚህ,here
72,አለበት,must
73,ትልቅ,big
74,ከፍተኛ,high
75,እንደዚህ,such
76,ተከተል,follow
77,እርምጃ,act
78,ለምን,why
79,ብለህ ጠይቅ,ask
80,ወንዶች,men
81,ለውጥ,change
82,ሄደ,went
83,ብርሃን,light
84,ደግ,kind
85,ጠፍቷል,off
86,ፍላጎት,need
87,ቤት,house
88,ስዕል,picture
89,ሞክር,try
90,እኛ,us
91,እንደገና,again
92,እንስሳ,animal
93,ነጥብ,point
94,እናት,mother
95,ዓለም,world
96,ተጠጋ,near
97,መገንባት,build
98,ራስን,self
99,ምድር,earth
100,አባት,father
101,ማንኛውም,any
102,አዲስ,new
103,ሥራ,work
104,ክፍል,part
105,ውሰድ,take
106,አግኝ,get
107,ቦታ,place
108,የተሰራ,made
109,ቀጥታ,live
110,የት,where
111,በኋላ,after
112,ተመለስ,back
113,ትንሽ,little
114,ብቻ,only
115,ክብ,round
116,ሰው,man
117,አመት,year
118,መጣ,came
119,አሳይ,show
120,እያንዳንዱ,every
121,ጥሩ,good
122,እኔ,me
123,ስጥ,give
124,የእኛ,our
125,በታች,under
126,ስም,name
127,በጣም,very
128,በኩል,through
129,ብቻ,just
130,ቅጽ,form
131,ዓረፍተ-ነገር,sentence
132,በጣም ጥሩ,great
133,አስብ,think
134,በል,say
135,መርዳት,help
136,ዝቅተኛ,low
137,መስመር,line
138,ይለያል,differ
139,መታጠፍ,turn
140,መንስኤ,cause
141,ብዙ,much
142,ማለት,mean
143,ከዚህ በፊት,before
144,አንቀሳቅስ,move
145,ቀኝ,right
146,ወንድ ልጅ,boy
147,ያረጀ,old
148,እንዲሁ,too
149,ተመሳሳይ,same
150,እሷ,she
151,ሁሉም,all
152,እዚያ,there
153,መቼ,when
154,ወደ ላይ,up
155,አጠቃቀም,use
156,ያንተ,your
157,መንገድ,way
158,ስለ,about
159,ብዙዎች,many
160,ከዚያ,then
161,እነሱን,them
162,ፃፍ,write
163,ነበር,would
164,እንደ,like
165,ስለዚህ,so
166,እነዚህ,these
167,እሷ,her
168,ረዥም,long
169,ያድርጉ,make
170,ነገር,thing
171,ተመልከት,see
172,እሱ,him
173,ሁለት,two
174,አለው,has
175,ተመልከት,look
176,ተጨማሪ,more
177,ቀን,day
178,ይችላል,could
179,ሂድ,go
180,ና,come
181,አደረገ,did
182,ቁጥር,number
183,ድምጽ,sound
